customer_id,age,city,occupation,annual_income,investable_assets,risk_preference,marital_status,has_mortgage,recent_30d_consult,recent_30d_fund_view,recent_30d_deposit_view,has_credit_card,owned_product_type,last_interaction_days,customer_note
C001,31,上海,企业主,400000,1500000,中,未婚,是,否,否,否,是,"存款,基金",26,关注指数定投
C002,58,深圳,公务员,250000,1000000,中,未婚,否,否,否,是,是,存款,49,关注指数定投
C003,30,上海,医生,400000,3000000,中,未婚,是,是,是,是,否,"存款,基金",25,没有明显偏好
C004,28,上海,互联网运营,120000,150000,中,未婚,否,否,是,否,否,基金,86,关注养老规划
C005,41,杭州,企业主,300000,500000,低,未婚,是,否,否,否,否,存款,28,咨询过黄金
C006,44,深圳,金融从业者,500000,5000000,中高,已婚,否,是,否,否,否,基金,18,咨询过黄金
C007,56,南京,公务员,150000,50000,低,已婚,否,否,是,否,是,无,15,关注稳健理财
C008,58,北京,医生,400000,1000000,中,未婚,是,是,否,是,是,基金,48,想了解保险
C009,34,广州,公务员,200000,800000,中高,未婚,是,否,是,是,是,无,63,
C010,28,南京,工程师,120000,300000,中,已婚,是,是,否,是,否,保险,67,关注养老规划
C011,52,杭州,企业主,250000,500000,低,已婚,是,否,是,否,是,股票/基金,10,没有明显偏好
C012,56,武汉,教师,400000,5000000,低,已婚,否,是,否,否,否,股票/基金,55,之前咨询过未购买
C013,50,上海,公务员,150000,50000,低,已婚,是,否,否,否,否,保险,32,咨询过黄金
C014,28,杭州,产品经理,80000,50000,中,已婚,否,否,否,否,是,基金,49,关注养老规划
C015,24,武汉,产品经理,180000,300000,中高,已婚,是,否,是,否,是,无,41,之前咨询过未购买
C016,27,深圳,互联网运营,220000,500000,中,已婚,是,是,否,否,是,"存款,基金",77,关注指数定投
C017,26,广州,互联网运营,220000,800000,中高,已婚,否,否,是,否,否,存款,2,之前咨询过未购买
C018,53,广州,个体经营,150000,50000,低,已婚,是,否,否,是,否,"存款,基金",84,关注稳健理财
C019,57,深圳,企业主,400000,1000000,低,未婚,否,是,是,否,否,"存款,基金",63,关注指数定投
C020,40,广州,企业主,200000,1000000,中,已婚,否,否,否,是,是,存款,10,
C021,33,成都,公务员,200000,800000,中,未婚,是,是,否,否,是,股票/基金,72,关注指数定投
C022,50,深圳,个体经营,250000,500000,低,未婚,是,否,是,是,否,无,32,关注养老规划
C023,41,杭州,金融从业者,200000,1000000,低,未婚,否,否,是,否,是,无,25,关注稳健理财
C024,49,南京,医生,400000,1000000,中,未婚,是,否,是,否,否,存款,14,没有明显偏好
C025,51,杭州,医生,400000,5000000,低,未婚,是,是,否,是,是,股票/基金,56,没有明显偏好
C026,28,南京,销售,180000,50000,中高,未婚,否,是,是,否,否,无,23,之前咨询过未购买
C027,43,广州,工程师,200000,800000,中,未婚,否,否,否,否,是,无,11,关注养老规划
C028,42,杭州,公务员,400000,1000000,低,已婚,是,否,是,是,是,保险,54,关注稳健理财
C029,36,北京,工程师,500000,5000000,低,已婚,否,否,是,是,否,存款,72,之前咨询过未购买
C030,39,广州,企业主,500000,1500000,中,未婚,否,是,是,是,否,保险,34,没有明显偏好
C031,39,成都,医生,500000,1500000,中,已婚,否,否,是,否,是,基金,50,之前咨询过未购买
C032,33,南京,金融从业者,200000,1000000,中高,已婚,是,是,否,是,是,"存款,基金",49,想了解保险
C033,54,南京,企业主,400000,3000000,中,已婚,否,否,否,否,否,无,87,关注养老规划
C034,49,北京,教师,800000,1500000,中高,已婚,否,否,否,否,否,股票/基金,28,想了解保险
C035,53,南京,医生,400000,5000000,中,未婚,是,否,是,否,否,基金,84,关注养老规划
C036,28,深圳,互联网运营,80000,100000,中,已婚,是,否,否,是,否,无,33,没有明显偏好
C037,47,成都,教师,150000,100000,中,未婚,否,是,否,否,是,存款,90,关注指数定投
C038,43,广州,公务员,200000,300000,中,已婚,否,否,否,否,否,股票/基金,82,之前咨询过未购买
C039,53,武汉,教师,800000,1500000,中,未婚,否,是,是,否,是,存款,36,没有明显偏好
C040,52,广州,教师,800000,5000000,中,已婚,否,否,是,否,否,"存款,基金",2,
C041,57,杭州,教师,150000,100000,中,未婚,否,否,否,否,否,无,32,关注养老规划
C042,43,广州,公务员,400000,5000000,中高,未婚,否,否,否,否,是,股票/基金,16,想了解保险
C043,58,成都,教师,250000,500000,中,已婚,是,否,否,否,是,股票/基金,6,没有明显偏好
C044,27,成都,销售,120000,300000,中,未婚,否,否,否,否,否,存款,9,没有明显偏好
C045,49,成都,公务员,150000,50000,低,已婚,是,否,是,是,是,"存款,基金",49,没有明显偏好
C046,52,上海,公务员,400000,5000000,中,已婚,是,否,否,否,是,基金,1,关注指数定投
C047,50,成都,公务员,800000,3000000,低,未婚,是,是,是,是,是,保险,15,之前咨询过未购买
C048,58,深圳,教师,250000,800000,低,未婚,否,否,否,否,否,股票/基金,65,
C049,58,广州,公务员,800000,1000000,低,未婚,是,否,是,是,是,无,35,之前咨询过未购买
C050,26,南京,工程师,220000,1000000,中高,未婚,是,否,否,否,是,基金,43,没有明显偏好
